Name,UserName,Desc
Omega Brewer,OmegaBrewer,
Iishwara Ryaru,IishwaraRyaru,"Connecting research, policy and practice.  Advocating for students.  Seeking change."
W. A. Anders,Anders1906,I'm just me
Deepa Fernandes,deepaKPCC,Correspondent @ KPCC: Southern Cal Public Radio. I report about little kids. Mama of two lil lovebugs. RT = you've intrigued me.
YouthWireCA,YouthWireCA,California's next generation of community media. Statewide network: @SouthKernSol @RichmondPulse @WeCedYouthMedia @ThekNOwFresno @Voicewaves @CoachellaUninc
Traci Bonde,tr_bo,"16+ yrs: Ed Tech Admin--passion: vision/systems to access info 4 stu's in poverty.: http://t.co/4MvFcUt125, i heart; motorcycles, family, politics, hiking."
Deonna A.,iamDEONNA,Freelance Multimedia Journalist and Copy Writer. Often contributes to @cakefarm and @lbvoicewaves. Lover of spicy food and warm scarves. Beast in the making.
Trista Zobitz,tzobitz,"• Middle school language arts teacher 
• Continual learner
• Technology wanna be"
Wu Yee,WuYee,"Wu Yee Children's Services has been creating opportunities for children to be healthy, for families to thrive and for communities to be strong since 1977."
CCC,copyrightclear,Copyright Clearance Center (CCC) is a global licensing and content solutions organization that makes copyright work for everyone.
Oakland Schools,OUSDNews,News and (very brief) opinion on Oakland Public Schools. Find us on RebelMouse http://t.co/jVdMZu5v7f
J Kane,Siliconvalleyjk,"Currently at SVCF linking like-minded philanthropists, investors, entrepreneurs & NGOs around the globe. Silicon Valley is not a geography but a state of mind."
Landon Mascareñaz,lmascarenaz,"Harvard doctoral student. Education advocate.  Westerner. Debater, politico, dreamer. Ideas Whisperer. All thoughts are my own."
Kristen Muller,KrisMul,"Managing Editor @KPCCNews / SoCal Public Radio. NO relation to German footballer Thomas Muller, despite all the rumors."
Kristina Hayes,KHayes154,
Edison Middle School,EdisonMS_LAUSD,Thomas A. Edison Middle School of LAUSD official Twitter page. Serving students in 7th and 8th grade in South Central LA.
Ashley Roaseau,roaseau,
Dr. Crystal Hastings,doctorcrystal,School Administrator & Univ. Faculty Adjunct dedicated to improving the quality of education for ALL students. Views are my own. Retweets are not endorsements
Claire Leppaluoto,classicsclaire,"Aspiring ancient Roman/educator studying classics/education/sarcasm @ BU. Lover of languages, learning, liberalism, and apparently the letter L."
OMG Center ,omg_impact,"The OMG Center for Collaborative Learning advances social impact in the nonprofit sector through strategy development, evaluation, and capacity building."
Dusseldorp Forum,DusseldorpForum,"Building better futures for all young Australians by supporting innovations in learning that are more engaging, inclusive and creative."
Open Springboro,openspringboro,"Open Government for Springboro, Ohio."
Vacaville Teachers,vacateachers,We are proudly educating Vacaville's Future!
Judy Darnell,JudyDarnell,"VP of Public Policy, United Ways of California. Opinions expressed are my own. Passionate about kids, health, education, income issues."
Harvard EdLD Speaks,HarvardEdLD,"EDUCATION. LEADERSHIP. DOCTORATE.
http://t.co/oZATDixBPm"
SustyBoys,Sustyboys,
SustyKids,SustyKidsInc,No Cost Programs for Children in High Crime Low Income Areas.  It's time to level the playing field.
SustyGirls,SustyGirls,
Jason Kurtenbach,kurtenbachj,"Husband, Father, Educator, University of Nebraska Graduate, Pepperdine University Graduate, Kindness, Patience, Compassion"
Anita alfonso,Anita_alfonso1,
Laura Summers,lsummers,"Director of EDU at CU-Denver: http://t.co/h3uD1BghJB; traveler; story catcher/writer; presenter, professional learning coach/life-long learner"
Paige MacFarlane,edupaige,ADM with BC Ministry of Education. Shameless idealist interested in collaboration; education; public service and open government.
DHTV Live & Online,DHTVLive,DHTV is the 24/7 broadcast and video streaming service of California State University Dominguez Hills
Sandy Frye,SandyFrye,"Teacher at The Summit Prep. in Springfield, MO"
Miguel Hernández ,Migueloccco,
Keith,Iamkeithcurry,"Interim CEO, Compton Community College District"
Eliana,eliokeefe,National Board Certified Spanish Teacher!!! Smart Technologies Fan!!! passionate in integrating technology in the classroom!!!
Maricela Cruz,Vote_Maricela,"Alisal Union School District Board Candidate, Trustee Area 2"
Don Long,DonWLong,"Children of crisis, leaders in hope. Freedom and community for all through courage, compassion & creativity. Jefferson vision. MLK dream. Our peace & justice."
Mark Morrison,markmorrison6,Bringing Deeper Learning and 21st Century Skills to all students in the Napa Valley
Brian R. Miller,BrianRMiller1,
Hervey Malone II,HerveyMaloneII,I put God first in all that I do. Praise the Lord at all times! #SouldOut #InspireSaturdays #TeamInspire #SmartsOverSwag #RBG #USC @USCRossier Ed.D. student
Mona Ricard,ricard_mona,
Scott Williams,BlueHorseshoe84,
Deb Kubin,UkiahSupt,
James Barba,James_Barba,"Program Associate for Energy & Climate @nextgen_usa, @UCSC Banana Slug, @AmProg alum. These aren't the tweets you're looking for (views my own)."
Capella University,CapellaU,Capella University is an accredited online university that has built its reputation by providing quality #education for working adults. #elearning #highered
Shondrieka,Shondrieka,
N.M.E.A.C.S.,NMEACS,"The National Minority Educators Association for Charter Schools was created to allow the diversity in education, talents and resources to be cultivated."
Linda,UsborneBooks_CA,"Usborne Books & More California, Independent Consultant. Quality children's books that will entertain and teach children of all ages."
Heidi Stevenson,heidijstevenson,
K,KatieO75,
Chris Keller,ChrisLKeller,Mixing code & journalism as Data Editor at KPCC (SoCal Public Radio); husband; jack-of-all-trades; Packers fan; drummer/guitarist; ckeller[at]scpr[dot]org
Courtney Bell,courtneybell88,
Claudia Pineda Tibbs,CPTibbs,"PreK-12 bilingual educator @MontereyAq | passionate about the ocean, education & communication | sometimes all you need is a new perspective | views are my own"
Dr. James Norwood,JRNorwood,"Tech savvy educator, education blogger, teacher , DEN Star, PhD in Curriculum and Instruction. Hard-working guy! My Drama Anthology: http://t.co/B0YBghcvXr"
Bob Pearlman,bobpearlman,21st Century School and District Development Consultant
Jordan D Haar,mo_an_ca,social worker and musician
J,lendme1ear,
Aaron Feuer,aaronfeuer,CEO at @PanoramaEd
Caroline V Bruister,orange426,"Good government reformer, former CA leg staffer, Junior League volunteer, big fan of the beautiful Bay Area and Gaucho Loco!"
Elle Crawford,ElleCrawfordE4E,Organizer. Child Advocate. Special Education Teacher. Daughter. SoCal Native. Bi-Racial/Multi-Cultured. Tweets are my own personal opinions - RTs are not.
Dan Beltramo,DanBeltramo1,"8th grade science teacher, technology coordinator, and an adjunct faculty member at a private university. My mission this year is to gamify my classroom."
CA Career Cafe,CACareerCafe,"A Virtual #Career Center for #California #CommunityCollege #Students. Open 24/7 We want to help you find your dream job! 
https://t.co/MSM0CskS6r"
Susie Garcia,esaguerita,"LAUGH DANCE LOVE!!!  Vocalist, Violinist, Songwriter, Performer, Actress, Entertainer, Mexicana-Americana, Chicana, Mariachi, and Sports Fan!"
Cher Edwards,seattlecher,"Associate Dean, Professor and Chair, Department of Counselor Education at
Seattle Pacific University;  
Washington School Counselor Association President"
CollegeBoundCA,collegeboundca,"Education is the passport to the future, for tomorrow belongs to those who prepare today"
Shelly Masur,skmasur,"CEO of @CDEFoundation, mom of three, @RWCSchools board member, non-profit and public health leader."
Scripps College,scrippscollege,"Founded by newspaper publisher and philanthropist Ellen Browning Scripps in 1926, Scripps is the women's college of The Claremont Colleges."
"Tally Bee, Ed.D.",TalzBee,"Writer,ELA, EL, and AP Educator, Literacy Coach. DEN STAR&LC member, Google Certified Teacher, Ed&Tech Consultant, Christian"
Fund for Teachers,FundforTeachers,"FFT empowers pK-12 teachers by funding self-designed profdev that impacts their practice, students & school communities. $22 million to 6K+ teachers since 2001."
Ahmad Munawar,aamunawar,Marketing & Growth Strategist for B2B & professional services. Chief Curator @boutiquefirms. @EYCanada & @DegrooteBiz alumnus. Other 1/2 to @borderlinepaleo.
roberto bustillo,jrbustillo58,
Lois Langehaug,loislanersvl,Teacher from Northern California
Katherine Gomez,khallgomez,
Alyson McKay,rayogitano,
Jonathan Grieder,JohnGrieder2012,Teacher and Passionate Young Man interested in making the world a better place.
PR with Panache! ,PRwithPanache,PR with Panache! is the premier #Public Relations and Modern-Day #Storytelling Firm in the PK-20 #Education Industry...Let us make you famous!
Rowena Coetsee,RowenaCoetsee,"I cover Antioch, schools, a fire district and just about everything else, including stories about dogs. 925-779-7141 or rcoetsee@bayareanewsgroup.com"
Brian Hofmann,brian_hofmann,Educator and a diehard sports fan.
Ben Gevercer,BenGevercer,"@ucsc grad, Former Organizer for @OFA_PA & current civil servant."
Helmut Schimpfke,HelmutSchimpfke,MEGA-DIMENSIONS model :  http://t.co/zhCQlZ84Rc ..............and two vimeo video: 24megadimensions (29:39 minutes)...  https://t.co/tZUw30CLVV
Rep. Doris Matsui,DorisMatsui,Doris represents California's 6th Congressional District - including the capital city of Sacramento. She is a Member of the Energy and Commerce Committee.
Karen Swett,KLSWETT,
tim foster,oldmanfoster,Executive Director of Open California (publisher of Capitol Weekly) who moonlights as an artist and garage band noisemaker
ACSA,ACSA_info,The largest umbrella organization for school leaders in the nation. #schoolleadershipmatters #onevoiceforstudents
First 5 Association ,First5Assoc,"Creating a collective voice for the 58 First 5 county commissions to ensure that young children in California grow up healthy, safe, and ready to learn."
Janie K. Rhoades,JanieKRhoades,"Live in Corona, work for RUSD, always curious."
Mountain View Patch,MtnViewPatch,#MountainView #Patch is your source for all things local. http://t.co/uLOlViNd2k MountainView@Patch.com
Adriana,adiaz_ross,"Educator, entrepreneur & runner."
Magic Planet,magicplanet,Global Imagination makes the Magic Planet - a video display with a sphere-shaped screen.  Sphere sizes range from 16 (41 cm) to almost 10' (3m)
Pouneh Lechner,pounehl,"Wife, mother, PR exec...multi-tasker. Best times are spent dining, dancing, and laughing with friends."
A.D. Mills,alasandi,"Activator, Capacity Builder, Teacher, Avid Reader"
GangC,GangC,
Molly McGee Hewitt,mollylovescasbo,
David Cochrane,bcajd,"Director of Student Services
San Marcos Unified School District"
CA PE-H Project,CPEHP,"A collaboration of CA physical educators, health educators, classroom teachers, and university scholars dedicated to excellence in standards based education."
Julie White,ACSAmedia,Julie supports school leaders in their efforts to promote public education and ensure all students achieve success.
Paul Smith,pbs1207,"Education Consultant interested in Dropout Prevention, Nonprofits, Health & Wellness, Youth Development & Childhood Obesity"
Tamar Galatzan,TamarGalatzan,"Tamar Galatzan is a criminal prosecutor, mother, and LAUSD School Board Member representing District 3, which covers most of the West San Fernando Valley."
CCSF,OfficialCCSF,The Official Twitter for City College of San Francisco. Go Rams!
